bank,sub,clip_id,usa_payload_bytes,jp_payload_bytes,usa_frames,jp_frames,usa_seconds,jp_seconds,max_payload_bytes,max_seconds,max_subfile_bytes,max_region,max_header_patch,max_flag_patch
1511,7,852f,33792,37888,2112,2368,2.464000,2.762667,37888,2.762667,40960,jp,15:94;3a:26;85:97;91:94;95:94;b0:40;b1:40,93d1:01;93e1:07
1511,8,8530,23296,27520,1456,1720,1.698667,2.006667,27520,2.006667,30720,jp,14:40;15:6b;39:78;85:6f;90:80;91:6b;94:40;95:6b;b0:40;b1:40,6b01:01;6b11:07
1511,9,8531,20736,32640,1296,2040,1.512000,2.380000,32640,2.380000,34816,jp,14:40;15:7f;39:81;3a:0f;3b:7f;3c:b0;3d:00;3e:7e;3f:00;40:b0;41:00;42:7f;85:83;90:80;91:7f;94:40;95:7f;b0:40;b1:40,7f01:01;7f11:07
1511,10,8532,24192,30336,1512,1896,1.764000,2.212000,30336,2.212000,32768,jp,15:76;39:81;3a:05;3b:7f;3c:b0;3d:00;3e:7e;3f:00;40:b0;41:00;42:7f;85:7b;91:76;95:76;b0:40;b1:40,7621:01;7631:07
1511,11,8533,88448,77440,5528,4840,6.449333,5.646667,88448,6.449333,92160,usa,,15941:01;15951:07
1511,12,8534,24320,19200,1520,1200,1.773333,1.400000,24320,1.773333,26624,usa,,5e71:01;5e81:07
1511,13,8535,86912,85888,5432,5368,6.337333,6.262667,86912,6.337333,90112,usa,,15351:01;15361:07
1511,14,8536,62208,49408,3888,3088,4.536000,3.602667,62208,4.536000,65536,usa,,f2d1:01;f2e1:07
1512,0,8546,16000,14080,1000,880,1.166667,1.026667,16000,1.166667,18432,usa,,3e31:01;3e41:07
1512,1,8547,39808,40064,2488,2504,2.902667,2.921333,40064,2.921333,43008,jp,15:9c;3e:2f;85:a3;91:9c;95:9c;b0:40;b1:40,9c31:01;9c41:07
1512,2,8548,10240,9344,640,584,0.746667,0.681333,10240,0.746667,12288,usa,,27e1:01;27f1:07
1512,3,8549,9728,9728,608,608,0.709333,0.709333,9728,0.709333,12288,usa,,2591:01;25a1:07
1512,4,854a,10368,7424,648,464,0.756000,0.541333,10368,0.756000,14336,usa,,2801:01;2811:07
1512,5,854b,11520,10240,720,640,0.840000,0.746667,11520,0.840000,14336,usa,,2cb1:01;2cc1:07
1512,6,854c,25216,27008,1576,1688,1.838667,1.969333,27008,1.969333,30720,jp,15:69;3d:76;85:6f;91:69;95:69;b0:40;b1:40,6911:01;6921:07
1512,7,854d,30976,29440,1936,1840,2.258667,2.146667,30976,2.258667,34816,usa,,7891:01;78a1:07
1512,8,854e,26880,19712,1680,1232,1.960000,1.437333,26880,1.960000,30720,usa,,6871:01;6881:07
1512,9,854f,93056,91136,5816,5696,6.785333,6.645333,93056,6.785333,96256,usa,,16af1:01;16b01:07
1512,10,8550,53888,50944,3368,3184,3.929333,3.714667,53888,3.929333,57344,usa,,d221:01;d231:07
1512,11,8551,44800,41472,2800,2592,3.266667,3.024000,44800,3.266667,47104,usa,,aec1:01;aed1:07
1512,12,8552,27520,27648,1720,1728,2.006667,2.016000,27648,2.016000,30720,jp,14:00;15:6c;90:00;91:6c;94:00;95:6c;b0:40;b1:40,6bc1:01;6bd1:07
1512,13,8553,19840,24192,1240,1512,1.446667,1.764000,24192,1.764000,26624,jp,15:5e;3d:6a;85:63;91:5e;95:5e;b0:40;b1:40,5df1:01;5e01:07
